pgn,name
c4 Nf6 g3 c6 Nf3 d5 b3 Bg4 Bg2 e6 Bb2,"Réti Opening, Anglo-Slav Variation, Torre System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bg4 Bb2,"Réti Opening, Anglo-Slav Variation, Torre System"
c4 Nf6 g3 c6 Nf3 d5 b3 dxc4,"Réti Opening, Anglo-Slav Variation, with dxc4"
c4 e6,"English Opening, Agincourt Defense"
c4 e6 Nf3,"English Opening, Agincourt Defense"
c4 e6 Nf3 d5,"English Opening, Agincourt Defense"
c4 e6 Nf3 d5 b3 Nf6 Bb2 Be7 e3 O-O,"English Opening, Agincourt Defense"
c4 e6 Nf3 d5 b3 Nf6 Bb2 Be7 e3 O-O d4,"English Opening, Agincourt Defense"
c4 e6 Nf3 d5 g3 Nf6 Bg2 Bd6,"English Opening, Agincourt Defense, Bogoljubow Defense"
c4 e6 Nf3 d5 g3 b6 Bg2 Bb7 O-O,"English Opening, Agincourt Defense, Catalan Defense"
c4 e6 Nf3 d5 g3 c5,"English Opening, Agincourt Defense, Catalan Defense"
c4 e6 Nf3 Nf6 g3 d5 Bg2 dxc4,"English Opening, Agincourt Defense, Catalan Defense Accepted"
c4 e6 Nf3 Nf6 g3 d5 Bg2 c6,"English Opening, Agincourt Defense, Catalan Defense, Semi-Slav Defense"
c4 e6 Nf3 d5 g3 c6,"English Opening, Agincourt Defense, Kurajica Defense"
c4 e6 Nf3 d5 g3 Nf6 Bg2 c5 b3 Nc6 O-O Be7,"English Opening, Agincourt Defense, Tarrasch Defense"
c4 e6 Nf3 Nf6 b3 d5 Bb2 c5 e3,"English Opening, Agincourt Defense, Wimpy System"
c4 e6 Nf3 d5 g3 Nf6,"English Opening, Neo-Catalan"
c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7,"English Opening, Neo-Catalan Declined"
c4 Nf6 Nf3 e6 g3 a6 Bg2 b5,"English Opening, Romanishin Gambit"
